date,temperature,humidity,luminosity
2021-11-17 15:28:57.496,18.8,30.8,242
2021-11-17 15:28:55.219,18.8,30.8,242
2021-11-17 15:28:52.941,18.7,30.7,243
2021-11-17 15:28:50.663,18.7,30.7,242
2021-11-17 15:28:48.386,18.7,30.7,243
2021-11-17 15:28:46.108,18.7,30.7,243
2021-11-17 15:28:43.830,18.7,30.7,243
2021-11-17 15:28:41.549,18.7,30.7,243
2021-11-17 15:28:39.271,18.7,30.7,243
2021-11-17 15:28:36.993,18.7,30.7,242
2021-11-17 15:28:34.716,18.7,30.7,243
2021-11-17 15:28:32.438,18.7,30.7,243
2021-11-17 15:28:30.161,18.7,30.6,243
2021-11-17 15:28:27.883,18.7,30.6,243
2021-11-17 15:28:25.601,18.7,30.6,243
2021-11-17 15:28:23.323,18.7,30.5,243
2021-11-17 15:28:21.046,18.7,30.5,243
2021-11-17 15:28:18.768,18.7,30.4,245
2021-11-17 15:28:16.490,18.7,30.4,245
2021-11-17 15:28:14.212,18.7,30.3,245
2021-11-17 15:28:11.934,18.7,30.3,245
2021-11-17 15:28:09.653,18.7,30.2,245
2021-11-17 15:28:07.375,18.7,30.2,245
2021-11-17 15:28:05.097,18.7,30.1,249
2021-11-17 15:28:02.820,18.7,30.1,249
2021-11-17 15:28:00.542,18.7,30.0,247
2021-11-17 15:27:58.264,18.7,30.0,247
2021-11-17 15:27:55.987,18.7,30.0,247
2021-11-17 15:27:53.709,18.7,30.0,247
2021-11-17 15:27:51.431,18.7,30.0,245
2021-11-17 15:27:49.150,18.7,29.9,245
2021-11-17 15:27:46.872,18.7,29.9,245
2021-11-17 15:27:44.594,18.7,29.9,243
2021-11-17 15:27:42.317,18.7,29.8,245
2021-11-17 15:27:40.039,18.7,29.8,247
2021-11-17 15:27:37.762,18.7,29.8,234
2021-11-17 15:27:35.484,18.7,29.8,232
2021-11-17 15:27:33.206,18.7,29.7,231
2021-11-17 15:27:30.925,18.7,29.7,232
2021-11-17 15:27:28.647,18.7,29.6,231
2021-11-17 15:27:26.369,18.7,29.6,231
2021-11-17 15:27:24.092,18.7,29.6,231
2021-11-17 15:27:21.814,18.7,29.6,231
2021-11-17 15:27:19.536,18.7,29.6,231
2021-11-17 15:27:17.259,18.7,29.6,229
2021-11-17 15:27:14.982,18.7,29.6,229
2021-11-17 15:27:12.704,18.7,29.7,232
2021-11-17 15:27:10.427,18.7,29.7,243
2021-11-17 15:27:08.145,18.7,29.7,240
2021-11-17 15:27:05.867,18.7,29.7,223
2021-11-17 15:27:03.590,18.7,29.7,180
2021-11-17 15:27:01.312,18.7,29.6,225
2021-11-17 15:26:59.034,18.7,29.6,226
2021-11-17 15:26:56.757,18.7,29.6,225
2021-11-17 15:26:54.479,18.7,29.6,225
2021-11-17 15:26:52.201,18.7,29.6,225
2021-11-17 15:26:49.924,18.7,29.6,225
2021-11-17 15:26:47.646,18.7,29.6,223
2021-11-17 15:26:45.364,18.7,29.5,226
2021-11-17 15:26:43.087,18.7,29.5,225
2021-11-17 15:26:40.809,18.7,29.5,226
2021-11-17 15:26:38.531,18.7,29.5,223
2021-11-17 15:26:36.254,18.7,29.5,223
2021-11-17 15:26:33.976,18.7,29.5,223
2021-11-17 15:26:31.698,18.7,29.5,217
2021-11-17 15:26:29.421,18.8,29.5,217
2021-11-17 15:26:27.139,18.8,29.5,217
2021-11-17 15:26:24.861,18.8,29.5,226
2021-11-17 15:26:22.584,18.8,29.5,223
2021-11-17 15:26:20.306,18.8,29.4,226
2021-11-17 15:26:18.029,18.8,29.4,226
2021-11-17 15:26:15.751,18.8,29.4,226
2021-11-17 15:26:13.473,18.8,29.4,225
2021-11-17 15:26:11.196,18.8,29.4,226
2021-11-17 15:26:08.918,18.8,29.3,225
2021-11-17 15:26:06.640,18.8,29.3,226
2021-11-17 15:26:04.359,18.8,29.3,226
2021-11-17 15:26:02.081,18.8,29.2,226
2021-11-17 15:25:59.803,18.8,29.2,223
2021-11-17 15:25:57.526,18.9,29.3,225
2021-11-17 15:25:55.248,18.9,29.2,225
2021-11-17 15:25:52.971,18.9,29.2,225
2021-11-17 15:25:50.693,18.9,29.2,223
2021-11-17 15:25:48.415,18.9,29.3,225
